time=2025-06-22T19:47:41.141+05:30 level=INFO source=/home/piush/Prog/learn/go-bookstore/cmd/server.go:27 msg="Initializing the Server"
time=2025-06-22T19:47:41.141+05:30 level=INFO source=/home/piush/Prog/learn/go-bookstore/cmd/server.go:81 msg="Setting up Middlewares"
{"time":"2025-06-22T20:04:03.603539581+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:05:36.363566865+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:05:36.363661613+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:05:36.367829877+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:05:36.369254895+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:08:10.915298803+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:08:10.915391667+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:08:10.920178122+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:08:11.028824626+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T20:09:45.121339968+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T20:09:45.121457028+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T20:09:45.122500519+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T20:09:45.250905393+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T21:43:14.891315717+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T21:43:14.891405515+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T21:43:14.895614585+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
{"time":"2025-06-22T21:43:14.91424298+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Setting up Middlewares"}
{"time":"2025-06-22T21:47:32.328589772+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Initializing the Server"}
{"time":"2025-06-22T21:47:32.328692725+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Connecting to the Database"}
{"time":"2025-06-22T21:47:32.329999082+05:30","level":"INFO","source":{"function":"github.com/dtg-lucifer/go-bookstore/pkg/utils.(*loggerIn).Info","file":"/home/piush/Prog/learn/go-bookstore/pkg/utils/logger.go","line":94},"msg":"Migrating the Database"}
